,ink_change_threshold_pct,ink_window_size,ink_position_limit,clear_price_thresh,profit_day_-2,profit_day_-1,profit_day_0,tot_profit
4,0.015,10,50,0,4273.0,3517.0,0.0,7790.0
5,0.015,10,50,1,4273.0,3517.0,0.0,7790.0
6,0.018,10,50,0,4273.0,3450.0,0.0,7723.0
7,0.018,10,50,1,4273.0,3450.0,0.0,7723.0
8,0.02,10,50,0,4273.0,3450.0,0.0,7723.0
9,0.02,10,50,1,4273.0,3450.0,0.0,7723.0
10,0.022,10,50,0,4273.0,3450.0,0.0,7723.0
11,0.022,10,50,1,4273.0,3450.0,0.0,7723.0
12,0.025,10,50,0,4273.0,3450.0,0.0,7723.0
13,0.025,10,50,1,4273.0,3450.0,0.0,7723.0
2,0.012,10,50,0,1127.0,6462.0,0.0,7589.0
3,0.012,10,50,1,1127.0,6462.0,0.0,7589.0
14,0.03,10,50,0,0.0,3450.0,0.0,3450.0
15,0.03,10,50,1,0.0,3450.0,0.0,3450.0
0,0.01,10,50,0,-7380.0,7292.0,706.0,618.0
1,0.01,10,50,1,-7380.0,7292.0,706.0,618.0
